'2016-09-24 11:24:22'
'2016-09-24 11:24:42'
'2016-09-24 11:25:02'
'2016-09-24 11:25:22'
'2016-09-24 11:25:42'
'2016-09-24 11:26:02'
'2016-09-24 11:26:23'
'2016-09-24 11:26:43'
'2016-09-24 11:27:03'
'2016-09-24 11:27:24'
'2016-09-24 11:27:44'
'2016-09-24 11:28:03'
'2016-09-24 11:28:24'
'2016-09-24 11:28:44'
'2016-09-24 11:29:04'
'2016-09-24 11:29:24'
'2016-09-24 11:29:43'
'2016-09-24 11:30:04'
'2016-09-24 11:30:24'
'2016-09-24 11:30:44'
'2016-09-24 11:31:04'
'2016-09-24 11:31:24'
'2016-09-24 11:31:44'
'2016-09-24 11:32:04'
'2016-09-24 11:32:24'
'2016-09-24 11:32:43'
'2016-09-24 11:33:03'
'2016-09-24 11:33:24'
'2016-09-24 11:33:44'
'2016-09-24 11:34:05'
'2016-09-24 11:34:25'
'2016-09-24 11:34:45'
'2016-09-24 11:35:05'
'2016-09-24 11:35:25'
'2016-09-24 11:35:45'
'2016-09-24 11:36:05'
'2016-09-24 11:36:25'
'2016-09-24 11:36:45'
'2016-09-24 11:37:05'
'2016-09-24 11:37:25'
'2016-09-24 11:37:45'
'2016-09-24 11:38:04'
'2016-09-24 11:38:25'
'2016-09-24 11:38:45'
'2016-09-24 11:39:05'
'2016-09-24 11:39:25'
'2016-09-24 11:39:45'
'2016-09-24 11:40:05'
'2016-09-24 11:40:25'
'2016-09-24 11:40:45'
'2016-09-24 11:41:05'
'2016-09-24 11:41:24'
'2016-09-24 11:41:45'
'2016-09-24 11:42:05'
'2016-09-24 11:42:25'
'2016-09-24 11:42:44'
'2016-09-24 11:43:05'
'2016-09-24 11:43:25'
'2016-09-24 11:43:45'
'2016-09-24 11:44:05'
'2016-09-24 11:44:25'
'2016-09-24 11:44:45'
'2016-09-24 11:45:05'
'2016-09-24 11:45:24'
'2016-09-24 11:45:44'
'2016-09-24 11:46:05'
'2016-09-24 11:46:25'
'2016-09-24 11:46:45'
'2016-09-24 11:47:05'
'2016-09-24 11:47:25'
'2016-09-24 11:47:45'
'2016-09-24 11:48:05'
'2016-09-24 11:48:25'
'2016-09-24 11:48:45'
'2016-09-24 11:49:05'
'2016-09-24 11:49:25'
'2016-09-24 11:49:45'
'2016-09-24 11:50:05'
'2016-09-24 11:50:25'
'2016-09-24 11:50:45'
'2016-09-24 11:51:05'
'2016-09-24 11:51:25'
'2016-09-24 11:51:45'
'2016-09-24 11:52:04'
'2016-09-24 11:52:25'
'2016-09-24 11:52:45'
